observation_date,BOGZ1FL135010005Q
1945-10-01,45033
1946-01-01,
1946-04-01,
1946-07-01,
1946-10-01,49740
1947-01-01,
1947-04-01,
1947-07-01,
1947-10-01,54802
1948-01-01,
1948-04-01,
1948-07-01,
1948-10-01,59433
1949-01-01,
1949-04-01,
1949-07-01,
1949-10-01,62489
1950-01-01,
1950-04-01,
1950-07-01,
1950-10-01,59315
1951-01-01,
1951-04-01,
1951-07-01,
1951-10-01,66460
1952-01-01,66604
1952-04-01,66759
1952-07-01,66934
1952-10-01,67027
1953-01-01,66956
1953-04-01,66693
1953-07-01,66446
1953-10-01,66467
1954-01-01,67513
1954-04-01,68480
1954-07-01,69214
1954-10-01,69949
1955-01-01,70614
1955-04-01,71397
1955-07-01,72623
1955-10-01,73709
1956-01-01,74731
1956-04-01,76867
1956-07-01,78600
1956-10-01,79777
1957-01-01,81770
1957-04-01,82805
1957-07-01,84185
1957-10-01,85446
1958-01-01,90174
1958-04-01,92313
1958-07-01,93525
1958-10-01,94577
1959-01-01,96246
1959-04-01,97718
1959-07-01,99211
1959-10-01,100814
1960-01-01,100935
1960-04-01,101526
1960-07-01,102068
1960-10-01,102700
1961-01-01,103995
1961-04-01,105278
1961-07-01,106596
1961-10-01,107852
1962-01-01,109022
1962-04-01,110152
1962-07-01,111374
1962-10-01,112510
1963-01-01,114182
1963-04-01,115880
1963-07-01,117581
1963-10-01,119334
1964-01-01,121187
1964-04-01,122747
1964-07-01,124571
1964-10-01,126062
1965-01-01,128634
1965-04-01,131098
1965-07-01,133721
1965-10-01,135908
1966-01-01,138199
1966-04-01,139904
1966-07-01,142158
1966-10-01,144098
1967-01-01,146235
1967-04-01,148353
1967-07-01,150452
1967-10-01,152364
1968-01-01,153887
1968-04-01,155458
1968-07-01,157195
1968-10-01,158411
1969-01-01,159336
1969-04-01,160195
1969-07-01,161131
1969-10-01,161885
1970-01-01,163122
1970-04-01,163645
1970-07-01,165153
1970-10-01,166187
1971-01-01,168963
1971-04-01,171697
1971-07-01,174485
1971-10-01,177459
1972-01-01,182906
1972-04-01,188650
1972-07-01,194428
1972-10-01,199891
1973-01-01,212853
1973-04-01,225619
1973-07-01,238175
1973-10-01,250817
1974-01-01,258736
1974-04-01,265852
1974-07-01,272774
1974-10-01,279744
1975-01-01,289979
1975-04-01,300897
1975-07-01,312437
1975-10-01,323804
1976-01-01,341084
1976-04-01,357644
1976-07-01,374575
1976-10-01,391536
1977-01-01,402123
1977-04-01,413665
1977-07-01,424990
1977-10-01,436377
1978-01-01,457181
1978-04-01,477612
1978-07-01,498423
1978-10-01,518908
1979-01-01,541396
1979-04-01,563832
1979-07-01,586399
1979-10-01,609809
1980-01-01,626269
1980-04-01,642511
1980-07-01,658886
1980-10-01,674211
1981-01-01,671899
1981-04-01,670341
1981-07-01,669453
1981-10-01,667795
1982-01-01,655884
1982-04-01,645347
1982-07-01,635655
1982-10-01,626844
1983-01-01,628004
1983-04-01,628305
1983-07-01,627646
1983-10-01,626932
1984-01-01,603587
1984-04-01,579121
1984-07-01,554897
1984-10-01,530823
1985-01-01,511280
1985-04-01,492326
1985-07-01,472850
1985-10-01,453308
1986-01-01,441832
1986-04-01,430143
1986-07-01,418425
1986-10-01,406582
1987-01-01,411747
1987-04-01,416402
1987-07-01,420924
1987-10-01,424841
1988-01-01,428154
1988-04-01,432229
1988-07-01,436366
1988-10-01,440379
1989-01-01,444122
1989-04-01,447451
1989-07-01,451386
1989-10-01,455327
1990-01-01,459432
1990-04-01,463783
1990-07-01,467990
1990-10-01,472507
1991-01-01,472914
1991-04-01,474385
1991-07-01,476195
1991-10-01,479427
1992-01-01,483823
1992-04-01,487669
1992-07-01,491417
1992-10-01,494698
1993-01-01,503028
1993-04-01,511200
1993-07-01,519501
1993-10-01,527669
1994-01-01,533170
1994-04-01,538950
1994-07-01,543884
1994-10-01,548538
1995-01-01,556519
1995-04-01,565447
1995-07-01,573780
1995-10-01,582483
1996-01-01,589711
1996-04-01,596450
1996-07-01,601836
1996-10-01,608178
1997-01-01,616694
1997-04-01,625475
1997-07-01,634024
1997-10-01,642430
1998-01-01,648532
1998-04-01,655223
1998-07-01,662405
1998-10-01,669562
1999-01-01,679717
1999-04-01,690066
1999-07-01,700430
1999-10-01,710467
2000-01-01,723319
2000-04-01,736573
2000-07-01,749660
2000-10-01,762400
2001-01-01,772833
2001-04-01,783186
2001-07-01,793383
2001-10-01,805460
2002-01-01,805184
2002-04-01,804589
2002-07-01,804372
2002-10-01,803634
2003-01-01,829356
2003-04-01,857587
2003-07-01,884832
2003-10-01,910867
2004-01-01,955935
2004-04-01,1000492
2004-07-01,1044492
2004-10-01,1087753
2005-01-01,1128776
2005-04-01,1170771
2005-07-01,1210927
2005-10-01,1249963
2006-01-01,1279945
2006-04-01,1310462
2006-07-01,1342923
2006-10-01,1373422
2007-01-01,1402098
2007-04-01,1432994
2007-07-01,1463126
2007-10-01,1492277
2008-01-01,1480411
2008-04-01,1469192
2008-07-01,1455487
2008-10-01,1441042
2009-01-01,1455158
2009-04-01,1474109
2009-07-01,1492399
2009-10-01,1504584
2010-01-01,1523964
2010-04-01,1543052
2010-07-01,1562282
2010-10-01,1581194
2011-01-01,1576713
2011-04-01,1569788
2011-07-01,1562985
2011-10-01,1555726
2012-01-01,1619202
2012-04-01,1682969
2012-07-01,1749800
2012-10-01,1817976
2013-01-01,1857710
2013-04-01,1895342
2013-07-01,1933428
2013-10-01,1969297
2014-01-01,1994796
2014-04-01,2020752
2014-07-01,2046758
2014-10-01,2074018
2015-01-01,2071398
2015-04-01,2070392
2015-07-01,2067232
2015-10-01,2065553
2016-01-01,2072296
2016-04-01,2075671
2016-07-01,2081058
2016-10-01,2083936
2017-01-01,2097385
2017-04-01,2111016
2017-07-01,2125330
2017-10-01,2142748
2018-01-01,2148241
2018-04-01,2152117
2018-07-01,2156264
2018-10-01,2156777
2019-01-01,2157485
2019-04-01,2157649
2019-07-01,2159055
2019-10-01,2160222
2020-01-01,2173588
2020-04-01,2191037
2020-07-01,2207883
2020-10-01,2225264
2021-01-01,2278325
2021-04-01,2326906
2021-07-01,2373411
2021-10-01,2407075
2022-01-01,2478334
2022-04-01,2548980
2022-07-01,2620524
2022-10-01,2700905
2023-01-01,2737394
2023-04-01,2782251
2023-07-01,2830983
2023-10-01,2871449
2024-01-01,2919381
2024-04-01,2964554
2024-07-01,3008525
2024-10-01,3055009
